SUMMARY;DESCRIPTION;DTSTART;DTEND;LOCATION;CATEGORIES;UID
R1.04 TP;RT1-TP_B2 AZZOUNI SOUMAYA;20251201T150000Z;20251201T170000Z;G_004;;ADE60323032352d3230323653542d455449454e4e452d31343633392d302d34
SAE1.02 TP 4H;RT1-TP_A1 CHAMBERT CHRISTOPHE;20251218T070000Z;20251218T110000Z;G_012;;ADE60323032352d3230323653542d455449454e4e452d33343332332d302d30
SAE1.05;RT1-A LACAN DAVID;20251211T070000Z;20251211T090000Z;D_110;;ADE60323032352d3230323653542d455449454e4e452d32333131332d302d30
R1.15;RT1-B GUILLOT TIPHANIE;20251001T060000Z;20251001T080000Z;G_016;;ADE60323032352d3230323653542d455449454e4e452d31393832302d302d30
R1.01b DS TP;RT1-TP_B1 CHEMINEAU CHRISTOPHE;20251001T120000Z;20251001T160000Z;G_007;;ADE60323032352d3230323653542d455449454e4e452d33313337332d302d30
R1.07 TP;RT1-TP_A1 LAURENT NILS;20251021T140000Z;20251021T160000Z;G_019;;ADE60323032352d3230323653542d455449454e4e452d31363631382d302d38
SAE1.PORTFOLIO;RT1-S1 MATICHARD PIERRE-JEAN;20250923T100000Z;20250923T110000Z;G_011_AMPHI;;ADE60323032352d3230323653542d455449454e4e452d32333334352d302d30
R1.13 TDA;RT1-A BIARD MATHIEU;20251022T080000Z;20251022T100000Z;D_032;;ADE60323032352d3230323653542d455449454e4e452d3734332d302d35
SAE1.01;RT1-A AZZOUNI SOUMAYA;20251003T110000Z;20251003T140000Z;G_004;;ADE60323032352d3230323653542d455449454e4e452d31353139372d302d30
R1.04 TP;RT1-TP_A2 AZZOUNI SOUMAYA;20251201T090000Z;20251201T110000Z;G_004;;ADE60323032352d3230323653542d455449454e4e452d31343539362d302d32
SAE1.05 PROJET B2;RT1-TP_B2;20260106T080000Z;20260106T090000Z;G_012;;ADE60323032352d3230323653542d455449454e4e452d36323133392d362d30
R1.07 TP;RT1-TP_A1 LAURENT NILS;20251104T150000Z;20251104T170000Z;D_110;;ADE60323032352d3230323653542d455449454e4e452d31363631382d302d32
Soutien RT1-RT2 (Non Obligatoire);RT1-S1;20251218T130000Z;20251218T170000Z;G_002\,D_110\,G_003\,G_004\,G_007\,D_026\,D_032;;ADE60323032352d3230323653542d455449454e4e452d31333036352d302d36
SAE1.03 SUIVI;RT1-TP_A1 HEYRAUD CHRISTOPHE;20251117T150000Z;20251117T160000Z;G_007;;ADE60323032352d3230323653542d455449454e4e452d32373835372d302d33
SAE1.01 SUIVI;RT1-TP_B1 AZZOUNI SOUMAYA;20250915T120000Z;20250915T130000Z;G_004;;ADE60323032352d3230323653542d455449454e4e452d31363533352d302d31
R1.04 PRE;RT1-B HEYRAUD CHRISTOPHE;20250902T080000Z;20250902T100000Z;D_032;;ADE60323032352d3230323653542d455449454e4e452d31343132362d302d30
R1.15;RT1-TP_A2 BOURAMTANE KHALIL;20250926T070000Z;20250926T080000Z;B_203 salle informatique;;ADE60323032352d3230323653542d455449454e4e452d34363933382d302d30
R1.06;RT1-TP_A2 CHAMBERT CHRISTOPHE;20260105T130000Z;20260105T170000Z;G_002;;ADE60323032352d3230323653542d455449454e4e452d31343631312d302d31
SAE1.PORTFOLIO en 1ER;RT1-TP_A2 MATICHARD PIERRE-JEAN;20251021T080000Z;20251021T100000Z;G_019;;ADE60323032352d3230323653542d455449454e4e452d393639302d302d30
SAE1.03;RT1-TP_A1;20251110T100000Z;20251110T110000Z;G_007;;ADE60323032352d3230323653542d455449454e4e452d31383437352d312d31
R1.10;RT1-A TCHEN CASSANDRA;20250909T080000Z;20250909T100000Z;D_028;;ADE60323032352d3230323653542d455449454e4e452d32343039312d332d30
SAE1.02 PROJET;RT1-TP_B2;20251205T150000Z;20251205T170000Z;G_007;;ADE60323032352d3230323653542d455449454e4e452d31383436392d302d30
R1.10;RT1-TP_A1 TCHEN CASSANDRA;20251124T090000Z;20251124T110000Z;D_032;;ADE60323032352d3230323653542d455449454e4e452d33303233352d302d30
SAE1.02 PROJET;RT1-TP_B2;20251212T070000Z;20251212T080000Z;G_012;;ADE60323032352d3230323653542d455449454e4e452d31383436392d322d32
SAE1.01 SUIVI;RT1-TP_A2 AZZOUNI SOUMAYA;20250916T060000Z;20250916T070000Z;G_007;;ADE60323032352d3230323653542d455449454e4e452d31363533342d302d31
R1.07 TP;RT1-TP_B2 EL AMLI AMINE;20251020T060000Z;20251020T080000Z;D_110;;ADE60323032352d3230323653542d455449454e4e452d31363633372d302d32
Accueil institutionnel Direction (Espace Conférences);RT1-S1;20250901T083000Z;20250901T093000Z;;;ADE60323032352d3230323653542d455449454e4e452d31303837362d302d30
R1.12 EN 2EME;RT1-A NEJJAR NABIH Armoire PC portable;20251103T150000Z;20251103T170000Z;G_004;;ADE60323032352d3230323653542d455449454e4e452d31303330382d302d31
Contrôle des Absences - Bureau de Mme Zeryouh;RT2-S3 RT1-S1 ZERYOUH NEZHA;20251209T110000Z;20251209T113000Z;;;ADE60323032352d3230323653542d455449454e4e452d33343830382d302d33
SAE1.05 PROJET A2;RT1-TP_A2;20260107T160000Z;20260107T170000Z;G_003;;ADE60323032352d3230323653542d455449454e4e452d32343535372d312d32
R1.11 Voltaire B2;BARNAY FABIENNE RT1-TP_B2;20250925T080000Z;20250925T090000Z;G_016;;ADE60323032352d3230323653542d455449454e4e452d36333638322d302d38
R1.04 TP;RT1-TP_A1 AZZOUNI SOUMAYA;20251128T090000Z;20251128T110000Z;G_004;;ADE60323032352d3230323653542d455449454e4e452d31313933302d302d36
SAE1.03;RT1-TP_A2;20251114T150000Z;20251114T170000Z;G_007;;ADE60323032352d3230323653542d455449454e4e452d31383633392d302d32
SAE1.PORTFOLIO;MATICHARD PIERRE-JEAN RT1-TP_B2;20251105T070000Z;20251105T090000Z;G_019;;ADE60323032352d3230323653542d455449454e4e452d31333330322d302d30
R1.06;RT1-TP_B2 CHAMBERT CHRISTOPHE;20251215T070000Z;20251215T110000Z;G_004;;ADE60323032352d3230323653542d455449454e4e452d31343631332d302d30
R1.04 TP;RT1-TP_A1 CHEVRIER JEAN-PIERRE;20251107T130000Z;20251107T150000Z;G_004;;ADE60323032352d3230323653542d455449454e4e452d31313933302d302d31
R1.06;RT1-B HEYRAUD CHRISTOPHE;20251124T130000Z;20251124T150000Z;D_032;;ADE60323032352d3230323653542d455449454e4e452d35303739352d302d30
SAE1.02 SUIVI PROJET;RT1-TP_A1 CHAMBERT CHRISTOPHE;20260106T090000Z;20260106T100000Z;G_007;;ADE60323032352d3230323653542d455449454e4e452d32303334372d302d34
R1.04 TP;RT1-TP_A2 AZZOUNI SOUMAYA;20251119T150000Z;20251119T170000Z;G_004;;ADE60323032352d3230323653542d455449454e4e452d31343539362d302d33
R1.01b;RT1-TP_B2 LAURENT NILS;20250917T060000Z;20250917T100000Z;G_007;;ADE60323032352d3230323653542d455449454e4e452d33313339332d302d30
SAE1.02 PROJET;RT1-TP_B2;20251212T100000Z;20251212T110000Z;G_012;;ADE60323032352d3230323653542d455449454e4e452d31383436392d322d31
SAE1.02 PROJET;RT1-TP_A1;20260105T130000Z;20260105T140000Z;G_007;;ADE60323032352d3230323653542d455449454e4e452d31383436302d322d30
SAE1.04 PROJET;RT1-TP_B2;20251204T090000Z;20251204T100000Z;D_110;;ADE60323032352d3230323653542d455449454e4e452d33303532382d302d36
SAE1.04 SUIVI PROJET;RT1-TP_A2 MATICHARD PIERRE-JEAN;20251107T130000Z;20251107T140000Z;G_012;;ADE60323032352d3230323653542d455449454e4e452d33303533312d302d30
R1.04 TP;RT1-TP_A2 AZZOUNI SOUMAYA;20251203T150000Z;20251203T170000Z;G_004;;ADE60323032352d3230323653542d455449454e4e452d31343539362d302d37
R1.07 TP;RT1-TP_B1 LAURENT NILS;20251013T140000Z;20251013T160000Z;G_002;;ADE60323032352d3230323653542d455449454e4e452d31363633312d302d30
R1.14;RT1-B GAULTIER BEATRICE;20251020T140000Z;20251020T160000Z;D_028;;ADE60323032352d3230323653542d455449454e4e452d31343832382d302d35
SAE1.02 TP 4H;RT1-TP_B2 MATICHARD PIERRE-JEAN;20251212T130000Z;20251212T170000Z;G_012;;ADE60323032352d3230323653542d455449454e4e452d33343339342d302d30
R1.10;RT1-TP_A1 TCHEN CASSANDRA;20251201T090000Z;20251201T110000Z;D_026;;ADE60323032352d3230323653542d455449454e4e452d33303233352d312d30
R1.13 TDB;RT1-B GRIZONNET YANN;20251124T090000Z;20251124T110000Z;D_026;;ADE60323032352d3230323653542d455449454e4e452d313235322d302d38
SAE1.05 PROJET B1;RT1-TP_B1;20260107T150000Z;20260107T170000Z;G_007;;ADE60323032352d3230323653542d455449454e4e452d33363333382d322d30
R1.08;RT1-S1 MARTINI PIERRE;20250903T060000Z;20250903T080000Z;G_011_AMPHI;;ADE60323032352d3230323653542d455449454e4e452d3530352d302d31
R1.05;RT1-TP_B1 HEYRAUD CHRISTOPHE;20250924T080000Z;20250924T110000Z;G_007;;ADE60323032352d3230323653542d455449454e4e452d3936342d302d30
R1.04 ELECTRONIQUE;RT1-B AZZOUNI SOUMAYA;20251002T054500Z;20251002T074500Z;D_028;;ADE60323032352d3230323653542d455449454e4e452d31343034332d302d31
R1.11 METHODO IA;RT1-B MARTINI PIERRE;20251216T073000Z;20251216T090000Z;G_004;;ADE60323032352d3230323653542d455449454e4e452d34383635322d302d31
SAE1.04 TP Présentation orale;RT1-TP_A1 MATICHARD PIERRE-JEAN;20260105T070000Z;20260105T110000Z;D_110;;ADE60323032352d3230323653542d455449454e4e452d33343137362d302d30
R1.14;RT1-B GAULTIER BEATRICE;20250908T060000Z;20250908T080000Z;D_028;;ADE60323032352d3230323653542d455449454e4e452d31343832382d302d30
R1.02;RT1-TP_B1 CHAMBERT CHRISTOPHE;20251006T120000Z;20251006T160000Z;G_002;;ADE60323032352d3230323653542d455449454e4e452d333937372d302d30
R1.04 TP;RT1-TP_A1 AZZOUNI SOUMAYA;20251125T150000Z;20251125T170000Z;G_004;;ADE60323032352d3230323653542d455449454e4e452d31313933302d302d34
VISITE BU (présence OBLIGATOIRE);RT1-TP_B1 HEYRAUD CHRISTOPHE;20250919T120000Z;20250919T130000Z;;;ADE60323032352d3230323653542d455449454e4e452d33343831382d302d30
R1.10;RT1-TP_A1 TCHEN CASSANDRA;20260107T150000Z;20260107T170000Z;D_028;;ADE60323032352d3230323653542d455449454e4e452d33303233352d342d30
R1.13 TDB;RT1-B GRIZONNET YANN;20251126T150000Z;20251126T170000Z;G_011_AMPHI;;ADE60323032352d3230323653542d455449454e4e452d313235322d302d37
SAE1.02 PROJET;RT1-TP_A2;20251204T100000Z;20251204T110000Z;G_012;;ADE60323032352d3230323653542d455449454e4e452d31383436312d332d32
R1.07;RT1-B LAURENT NILS;20251014T063000Z;20251014T080000Z;G_004;;ADE60323032352d3230323653542d455449454e4e452d31353039342d372d30
évaluations de l’organisation des formations;RT1-S1 ALBERT PASCAL;20260107T100000Z;20260107T104500Z;G_011_AMPHI;;ADE60323032352d3230323653542d455449454e4e452d36353331312d302d30
R1.01b;RT1-B CHAMBERT CHRISTOPHE;20250910T080000Z;20250910T100000Z;G_004;;ADE60323032352d3230323653542d455449454e4e452d31343536322d322d30
PRESENTATION DU TSE;RT1-S1 NOUVELIÈRE LYDIE;20251120T110000Z;20251120T120000Z;G_011_AMPHI;;ADE60323032352d3230323653542d455449454e4e452d32343035392d302d30
R1.07;RT1-B LAURENT NILS;20251010T140000Z;20251010T160000Z;G_003;;ADE60323032352d3230323653542d455449454e4e452d31353039342d332d30
SAE1.05 PROJET B2;RT1-TP_B2;20260108T100000Z;20260108T110000Z;G_003;;ADE60323032352d3230323653542d455449454e4e452d36323133392d352d30
R1.10;RT1-TP_A2 TCHEN CASSANDRA;20260114T140000Z;20260114T150000Z;D_028;;ADE60323032352d3230323653542d455449454e4e452d33313334382d362d30
SAE1.04;RT1-A MATICHARD PIERRE-JEAN;20251113T090000Z;20251113T103000Z;D_110;;ADE60323032352d3230323653542d455449454e4e452d31393835302d302d30
SAE1.05 PROJET B1;RT1-TP_B1;20260105T080000Z;20260105T090000Z;G_012;;ADE60323032352d3230323653542d455449454e4e452d33363333382d31302d30
SAE1.05 SUIVI PROJET;RT1-TP_A2 BIARD MATHIEU;20260107T080000Z;20260107T090000Z;G_003;;ADE60323032352d3230323653542d455449454e4e452d33353435322d302d31
SAE1.04 PROJET;RT1-TP_A1;20251107T080000Z;20251107T090000Z;G_003;;ADE60323032352d3230323653542d455449454e4e452d33303531372d302d36
SAE1.05;RT1-S1 LACAN DAVID;20251205T090000Z;20251205T110000Z;G_011_AMPHI;;ADE60323032352d3230323653542d455449454e4e452d32323839322d302d30
SAE1.02 PROJET;RT1-TP_A1;20260105T140000Z;20260105T150000Z;G_007;;ADE60323032352d3230323653542d455449454e4e452d31383436302d322d32
Soutien RT1-RT2 (Non Obligatoire);RT1-S1;20251204T130000Z;20251204T170000Z;G_002\,G_003\,G_004\,G_007\,D_028\,D_026\,D_032;;ADE60323032352d3230323653542d455449454e4e452d31333036352d302d34
Développer ses compétences informationnelles - autonomie;RT1-TP_B2;20251118T090000Z;20251118T110000Z;G_002;;ADE60323032352d3230323653542d455449454e4e452d34343538342d302d30
R1.04 TP;RT1-TP_B1 AZZOUNI SOUMAYA;20251126T090000Z;20251126T110000Z;G_004;;ADE60323032352d3230323653542d455449454e4e452d31343633312d302d36
SAE1.02 SUIVI PROJET;RT1-TP_A1 CHAMBERT CHRISTOPHE;20251205T130000Z;20251205T140000Z;G_012;;ADE60323032352d3230323653542d455449454e4e452d32303334372d302d30
R1.01c TP DS;RT1-TP_B1 MARTINI PIERRE;20251024T060000Z;20251024T080000Z;G_012;;ADE60323032352d3230323653542d455449454e4e452d35363431382d302d30
R1.03;RT1-A AZZOUNI SOUMAYA;20251110T070000Z;20251110T090000Z;G_012;;ADE60323032352d3230323653542d455449454e4e452d31353537332d302d33
SAE1.02 PROJET;RT1-TP_B2;20251208T160000Z;20251208T170000Z;G_012;;ADE60323032352d3230323653542d455449454e4e452d31383436392d332d31
Contrôle des Absences - Bureau de Mme Zeryouh;RT2-S3 RT1-S1 ZERYOUH NEZHA;20260113T110000Z;20260113T113000Z;;;ADE60323032352d3230323653542d455449454e4e452d33343830382d302d35
R1.11 Voltaire B1;BARNAY FABIENNE RT1-TP_B1;20251112T140000Z;20251112T150000Z;D_028;;ADE60323032352d3230323653542d455449454e4e452d36333638302d302d38
SAE1.05 SUIVI PROJET;RT1-TP_B1 BIARD MATHIEU;20260108T100000Z;20260108T110000Z;G_004;;ADE60323032352d3230323653542d455449454e4e452d33353435332d302d31
R1.10;RT1-TP_A2 TCHEN CASSANDRA;20251126T150000Z;20251126T170000Z;D_028;;ADE60323032352d3230323653542d455449454e4e452d33313334382d312d30
R1.07;RT1-B LAURENT NILS;20251015T123000Z;20251015T140000Z;G_003;;ADE60323032352d3230323653542d455449454e4e452d31353039342d382d30
SAE1.05 PROJET A2;RT1-TP_A2;20260107T150000Z;20260107T160000Z;G_003;;ADE60323032352d3230323653542d455449454e4e452d32343535372d312d31
SAE1.02 PROJET;RT1-TP_B2;20251217T100000Z;20251217T110000Z;G_007;;ADE60323032352d3230323653542d455449454e4e452d31383436392d312d30
SAE1.02 PROJET;RT1-TP_B1;20251210T130000Z;20251210T150000Z;G_007;;ADE60323032352d3230323653542d455449454e4e452d31383436332d302d32
R1.11 Voltaire B2;BARNAY FABIENNE RT1-TP_B2;20251016T070000Z;20251016T080000Z;D_110;;ADE60323032352d3230323653542d455449454e4e452d36333638322d302d30
R1.05;RT1-TP_B1 HEYRAUD CHRISTOPHE;20251017T110000Z;20251017T140000Z;G_007;;ADE60323032352d3230323653542d455449454e4e452d3936342d302d31
R1.10;RT1-TP_B1 KOTTI IMEN;20251215T090000Z;20251215T110000Z;D_032;;ADE60323032352d3230323653542d455449454e4e452d33303233362d342d30
R1.09 (DS TP);RT1-TP_A2 LLORCA MAUD;20251024T140000Z;20251024T150000Z;G_019;;ADE60323032352d3230323653542d455449454e4e452d33303038322d302d30
SAE1.03 SUIVI;RT1-TP_A1 HEYRAUD CHRISTOPHE;20251118T100000Z;20251118T110000Z;G_007;;ADE60323032352d3230323653542d455449454e4e452d32373835372d302d32
SAE1.02 PROJET;RT1-TP_A2;20251216T130000Z;20251216T140000Z;G_012;;ADE60323032352d3230323653542d455449454e4e452d31383436312d322d31
SAE1.03;RT1-TP_B2;20251114T070000Z;20251114T090000Z;G_007;;ADE60323032352d3230323653542d455449454e4e452d32313637382d302d32
R1.14;RT1-TP_B2 GAULTIER BEATRICE;20250917T120000Z;20250917T140000Z;D_026;;ADE60323032352d3230323653542d455449454e4e452d31343837382d302d30
R1.11 Voltaire B1;BARNAY FABIENNE RT1-TP_B1;20251013T110000Z;20251013T120000Z;G_016;;ADE60323032352d3230323653542d455449454e4e452d36333638302d302d30
R1.04 PRE;RT1-A CHAMBERT CHRISTOPHE;20250910T140000Z;20250910T160000Z;D_110;;ADE60323032352d3230323653542d455449454e4e452d31343136342d302d33
R1.11 Voltaire A1;BARNAY FABIENNE RT1-TP_A1;20251219T100000Z;20251219T110000Z;D_028;;ADE60323032352d3230323653542d455449454e4e452d36333637372d302d31
R1.06;RT1-TP_B1 CHAMBERT CHRISTOPHE;20251219T070000Z;20251219T110000Z;G_002;;ADE60323032352d3230323653542d455449454e4e452d31343631322d302d31
SAE1.04 TP Présentation orale;RT1-TP_B2 MATICHARD PIERRE-JEAN;20260106T130000Z;20260106T170000Z;D_110;;ADE60323032352d3230323653542d455449454e4e452d33353239312d302d30
R1.04 TP;RT1-TP_B2 AZZOUNI SOUMAYA;20251125T070000Z;20251125T090000Z;G_004;;ADE60323032352d3230323653542d455449454e4e452d31343633392d302d37
R1.10;RT1-TP_B2 KOTTI IMEN;20260113T140000Z;20260113T150000Z;D_026;;ADE60323032352d3230323653542d455449454e4e452d33313339342d362d30
SAE1.01;RT1-TP_B2;20250918T090000Z;20250918T100000Z;G_016;;ADE60323032352d3230323653542d455449454e4e452d31363532362d312d30
SAE1.01;RT1-TP_B2;20250915T150000Z;20250915T160000Z;G_003;;ADE60323032352d3230323653542d455449454e4e452d31363532362d312d31
R1.07 TP;RT1-TP_A2 AZZOUNI SOUMAYA;20251107T070000Z;20251107T090000Z;D_110;;ADE60323032352d3230323653542d455449454e4e452d31363631392d302d37
SAE1.04 TP;RT1-TP_B2 MATICHARD PIERRE-JEAN;20251103T130000Z;20251103T140000Z;G_004;;ADE60323032352d3230323653542d455449454e4e452d32323137352d302d30
SAE1.03;RT1-TP_B2;20251118T130000Z;20251118T150000Z;G_007;;ADE60323032352d3230323653542d455449454e4e452d32313637382d302d31
R1.01c;RT1-TP_A1 MARTINI PIERRE;20251021T080000Z;20251021T100000Z;G_012;;ADE60323032352d3230323653542d455449454e4e452d31303435332d302d34
SAE1.01;RT1-TP_A1;20250923T090000Z;20250923T100000Z;G_002;;ADE60323032352d3230323653542d455449454e4e452d31363531342d312d31
R1.14;RT1-B GAULTIER BEATRICE;20250930T120000Z;20250930T140000Z;D_032;;ADE60323032352d3230323653542d455449454e4e452d31343832382d302d34
